smiles,logSolubility,ROMol,n_Atoms
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c820>,10
CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c890>,30
Nc1ccccc1O,-0.72,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c900>,8
CCCCCCCCC(=O)OCC,-3.8,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c970>,13
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.601,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c9e0>,20
CNC(=O)Oc1ccccc1OC(C)C,-2.05,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ca50>,15
CCC(C)Cl,-1.96,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cac0>,5
Oc1ccc2ccccc2c1,-2.28,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cb30>,11
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.6960000000000015,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cba0>,22
C#CCCCC,-2.36,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cc10>,6
C#CCCCCCCC,-4.24,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cc80>,9
Cc1ccccc1Cl,-3.52,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ccf0>,8
CC(C)OC(C)C,-1.1,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cd60>,7
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cdd0>,17
CNN,1.34,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ce40>,3
C#CC,-0.41,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ceb0>,3
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cf20>,19
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cf90>,17
C=CC=O,0.57,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d040>,4
O=c1[nH]cnc2nc[nH]c12,-2.296,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d0b0>,10
Oc1ccc2ncccc2c1,-2.16,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d120>,11
Fc1ccccc1,-1.8,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d190>,7
CCCCl,-1.47,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d200>,4
CCOC(C)=O,-0.04,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d270>,6
CCCC(C)(C)C,-4.36,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d2e0>,7
Cc1cc(C)c(C)c(C)c1C,-4.0,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d350>,11
CC12CCC(CC1)C(C)(C)O2,-1.64,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d3c0>,11
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d430>,22
Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d4a0>,14
Cc1cccnc1C,0.38,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d510>,8
C=C(C)C1CC=C(C)C(=O)C1,-2.06,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d580>,11
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.7360000000000015,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d5f0>,18
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d660>,42
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d6d0>,20
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d740>,13
Brc1ccc2ccccc2c1,-4.4,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d7b0>,11
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d820>,16
COc1cnc2ncncc2n1,-1.139,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d890>,12
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d900>,20
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.658,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d970>,18
C=CC(=C)C,-2.03,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d9e0>,5
C=CC(C)(O)CCC=C(C)C,-1.99,<rdkit.Chem.rdchem.Mol object at 0x15206cc9da50>,11
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,<rdkit.Chem.rdchem.Mol object at 0x15206cc9dac0>,16
OC1CCCCC1,-0.44,<rdkit.Chem.rdchem.Mol object at 0x15206cc9db30>,7
C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16,<rdkit.Chem.rdchem.Mol object at 0x15206cc9dba0>,13
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.16,<rdkit.Chem.rdchem.Mol object at 0x15206cc9dc10>,21
OCC(O)C(O)C(O)C(O)CO,0.06,<rdkit.Chem.rdchem.Mol object at 0x15206cc9dc80>,12
Cc1ccc(-c2ccccc2)cc1,-4.62,<rdkit.Chem.rdchem.Mol object at 0x15206cc9dcf0>,13
CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,<rdkit.Chem.rdchem.Mol object at 0x15206cc9dd60>,14
NC(=S)Nc1ccccc1,-1.77,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ddd0>,10
CCCC(=O)CCC,-1.3,<rdkit.Chem.rdchem.Mol object at 0x15206cc9de40>,8
CC(=O)C(C)(C)C,-0.72,<rdkit.Chem.rdchem.Mol object at 0x15206cc9deb0>,7
Oc1ccc(Cl)cc1,-0.7,<rdkit.Chem.rdchem.Mol object at 0x15206cc9df20>,8
O=C1CCCCC1,-0.6,<rdkit.Chem.rdchem.Mol object at 0x15206cc9df90>,7
Cc1cccc(N)c1,-0.85,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e040>,8
N#CC(Cl)(Cl)Cl,-2.168,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e0b0>,6
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.046,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e120>,20
CCCCCCCCC(C)=O,-3.3,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e190>,11
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e200>,16
CCOC(=O)c1ccc(N)cc1,-2.616,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e270>,12
Clc1ccc(Cl)c(Cl)c1,-3.59,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e2e0>,9
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.09,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e350>,23
Oc1ccccc1O,0.62,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e3c0>,8
CCN1c2ncccc2C(=O)N(C)c2cccnc21,-2.62,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e430>,19
CSC,-0.45,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e4a0>,3
Cc1ccccc1Br,-2.23,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e510>,8
CCOC(N)=O,0.85,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e580>,6
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e5f0>,28
CC(C)C(O)C(C)C,-1.22,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e660>,8
c1ccc2ccccc2c1,-3.6,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e6d0>,10
CCNc1ccccc1,-1.7,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e740>,9
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.097,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e7b0>,19
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e820>,20
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e890>,23
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e900>,21
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.28,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e970>,24
CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.678,<rdkit.Chem.rdchem.Mol object at 0x15206cc9e9e0>,27
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ea50>,13
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37,<rdkit.Chem.rdchem.Mol object at 0x15206cc9eac0>,22
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,<rdkit.Chem.rdchem.Mol object at 0x15206cc9eb30>,34
CCCCBr,-2.37,<rdkit.Chem.rdchem.Mol object at 0x15206cc9eba0>,5
Brc1cc(Br)c(Br)cc1Br,-6.98,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ec10>,10
CC(=O)CC(C)C,-0.74,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ec80>,7
CCSC(=O)N(CC)C1CCCCC1,-3.4,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ecf0>,14
COc1ccc(Cl)cc1,-2.78,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ed60>,9
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.402000000000001,<rdkit.Chem.rdchem.Mol object at 0x15206cc9edd0>,28
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ee40>,16
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04,<rdkit.Chem.rdchem.Mol object at 0x15206cc9eeb0>,17
Ic1cccc2ccccc12,-4.55,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ef20>,11
CCS,-0.6,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ef90>,3
ClCC(Cl)Cl,-1.48,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f040>,5
Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f0b0>,18
NC(=O)c1ccccc1O,-1.82,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f120>,10
Cc1ccccc1[N+](=O)[O-],-2.33,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f190>,10
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f200>,15
CCc1ccccc1C,-3.21,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f270>,9
CCCCCCCCl,-4.0,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f2e0>,8
CCC1(CC)C(=O)NC(=O)NC1=O,-2.4,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f350>,13
c1ccc(CCc2ccccc2)cc1,-4.62,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f3c0>,14
ClC(Cl)C(Cl)Cl,-1.74,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f430>,6
CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,-5.153,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f4a0>,21
Cc1ccc2c(ccc3ccccc32)c1,-5.84,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f510>,15
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f580>,20
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f5f0>,13
CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,0.523,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f660>,18
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.282,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f6d0>,20
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-4.5760000000000005,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f740>,27
COc1ccc([N+](=O)[O-])cc1,-2.41,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f7b0>,11
CCCCCCCl,-3.12,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f820>,7
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-9.16,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f890>,20
OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f900>,34
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f970>,26
CCN1c2ccccc2N(C)C(=O)c2cccnc21,-3.324,<rdkit.Chem.rdchem.Mol object at 0x15206cc9f9e0>,19
CC(Cl)Cl,-1.29,<rdkit.Chem.rdchem.Mol object at 0x15206cc9fa50>,4
Nc1ccc(S(N)(=O)=O)cc1,-1.34,<rdkit.Chem.rdchem.Mol object at 0x15206cc9fac0>,11
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.49,<rdkit.Chem.rdchem.Mol object at 0x15206cc9fb30>,22
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,<rdkit.Chem.rdchem.Mol object at 0x15206cc9fba0>,12
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,<rdkit.Chem.rdchem.Mol object at 0x15206cc9fc10>,22
Clc1cccc(Cl)c1Cl,-4.0,<rdkit.Chem.rdchem.Mol object at 0x15206cc9fc80>,9
ClC(Cl)(Cl)Cl,-2.31,<rdkit.Chem.rdchem.Mol object at 0x15206cc9fcf0>,5
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.2,<rdkit.Chem.rdchem.Mol object at 0x15206cc9fd60>,11
OC1CCCCCCC1,-1.29,<rdkit.Chem.rdchem.Mol object at 0x15206cc9fdd0>,9
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.999,<rdkit.Chem.rdchem.Mol object at 0x15206cc9fe40>,22
CCOc1ccc(NC(N)=O)cc1,-2.17,<rdkit.Chem.rdchem.Mol object at 0x15206cc9feb0>,13
CC1CCC(C)CC1,-4.47,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ff20>,8
c1cnc2c(c1)ccc1ncccc12,-2.68,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ff90>,14
COC(C)(C)C,-0.24,<rdkit.Chem.rdchem.Mol object at 0x15206cca0040>,6
CC=Cc1ccc(OC)cc1,-3.13,<rdkit.Chem.rdchem.Mol object at 0x15206cca00b0>,11
CCCCCCCCCCCCCCCCO,-7.0,<rdkit.Chem.rdchem.Mol object at 0x15206cca0120>,17
O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002,<rdkit.Chem.rdchem.Mol object at 0x15206cca0190>,8
Nc1ncnc2nc[nH]c12,-2.12,<rdkit.Chem.rdchem.Mol object at 0x15206cca0200>,10
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21,<rdkit.Chem.rdchem.Mol object at 0x15206cca0270>,17
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.596,<rdkit.Chem.rdchem.Mol object at 0x15206cca02e0>,19
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23,<rdkit.Chem.rdchem.Mol object at 0x15206cca0350>,20
O=C(Nc1ccccc1)Nc1ccccc1,-3.15,<rdkit.Chem.rdchem.Mol object at 0x15206cca03c0>,16
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.322,<rdkit.Chem.rdchem.Mol object at 0x15206cca0430>,17
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.29,<rdkit.Chem.rdchem.Mol object at 0x15206cca04a0>,15
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,<rdkit.Chem.rdchem.Mol object at 0x15206cca0510>,15
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,<rdkit.Chem.rdchem.Mol object at 0x15206cca0580>,16
CCC(C)(C)CO,-1.04,<rdkit.Chem.rdchem.Mol object at 0x15206cca05f0>,7
CCCOC(=O)CCC,-1.75,<rdkit.Chem.rdchem.Mol object at 0x15206cca0660>,9
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-3.22,<rdkit.Chem.rdchem.Mol object at 0x15206cca06d0>,16
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,<rdkit.Chem.rdchem.Mol object at 0x15206cca0740>,23
C1CCCCCC1,-3.51,<rdkit.Chem.rdchem.Mol object at 0x15206cca07b0>,7
CCCOC=O,-0.49,<rdkit.Chem.rdchem.Mol object at 0x15206cca0820>,6
Cc1ccccc1C(C)C,-3.76,<rdkit.Chem.rdchem.Mol object at 0x15206cca0890>,10
Nc1cccc(Cl)c1,-1.37,<rdkit.Chem.rdchem.Mol object at 0x15206cca0900>,8
CC(C)CC(C)C,-4.26,<rdkit.Chem.rdchem.Mol object at 0x15206cca0970>,7
c1ccc2c(c1)oc1ccccc12,-4.6,<rdkit.Chem.rdchem.Mol object at 0x15206cca09e0>,13
CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.42,<rdkit.Chem.rdchem.Mol object at 0x15206cca0a50>,19
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43,<rdkit.Chem.rdchem.Mol object at 0x15206cca0ac0>,16
c1ccc2nc3ccccc3cc2c1,-3.67,<rdkit.Chem.rdchem.Mol object at 0x15206cca0b30>,14
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11,<rdkit.Chem.rdchem.Mol object at 0x15206cca0ba0>,26
OCC1OC(O)C(O)C(O)C1O,0.74,<rdkit.Chem.rdchem.Mol object at 0x15206cca0c10>,12
Cc1cccc(O)c1,-0.68,<rdkit.Chem.rdchem.Mol object at 0x15206cca0c80>,8
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-3.5860000000000003,<rdkit.Chem.rdchem.Mol object at 0x15206cca0cf0>,24
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005,<rdkit.Chem.rdchem.Mol object at 0x15206cca0d60>,29
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-3.39,<rdkit.Chem.rdchem.Mol object at 0x15206cca0dd0>,12
CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,-2.696,<rdkit.Chem.rdchem.Mol object at 0x15206cca0e40>,19
CCCCCCCCCC(=O)OCC,-4.1,<rdkit.Chem.rdchem.Mol object at 0x15206cca0eb0>,14
CN(C)C(=O)Nc1ccccc1,-1.6,<rdkit.Chem.rdchem.Mol object at 0x15206cca0f20>,12
CCCOCC,-0.66,<rdkit.Chem.rdchem.Mol object at 0x15206cca0f90>,6
CC(C)O,0.43,<rdkit.Chem.rdchem.Mol object at 0x15206cca1040>,4
Cc1ccc2ccccc2c1,-3.77,<rdkit.Chem.rdchem.Mol object at 0x15206cca10b0>,11
ClC(Br)Br,-1.9,<rdkit.Chem.rdchem.Mol object at 0x15206cca1120>,4
CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.43,<rdkit.Chem.rdchem.Mol object at 0x15206cca1190>,20
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,<rdkit.Chem.rdchem.Mol object at 0x15206cca1200>,19
ClCc1ccccc1,-2.39,<rdkit.Chem.rdchem.Mol object at 0x15206cca1270>,8
C/C=C/C=O,0.32,<rdkit.Chem.rdchem.Mol object at 0x15206cca12e0>,5
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,<rdkit.Chem.rdchem.Mol object at 0x15206cca1350>,15
Cc1c2ccccc2c(C)c2ccccc12,-6.57,<rdkit.Chem.rdchem.Mol object at 0x15206cca13c0>,16
CCCCCC(=O)OC,-1.87,<rdkit.Chem.rdchem.Mol object at 0x15206cca1430>,9
CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-4.328,<rdkit.Chem.rdchem.Mol object at 0x15206cca14a0>,23
CC(=O)Nc1ccc(F)cc1,-1.78,<rdkit.Chem.rdchem.Mol object at 0x15206cca1510>,11
CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26,<rdkit.Chem.rdchem.Mol object at 0x15206cca1580>,18
C1=CCCCC1,-2.59,<rdkit.Chem.rdchem.Mol object at 0x15206cca15f0>,6
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.09,<rdkit.Chem.rdchem.Mol object at 0x15206cca1660>,26
c1cncnc1,1.1,<rdkit.Chem.rdchem.Mol object at 0x15206cca16d0>,6
O=[N+]([O-])c1ccc(Cl)cc1,-2.92,<rdkit.Chem.rdchem.Mol object at 0x15206cca1740>,10
CCC(=O)OC,-0.14,<rdkit.Chem.rdchem.Mol object at 0x15206cca17b0>,6
O=[N+]([O-])c1ccccc1Cl,-2.55,<rdkit.Chem.rdchem.Mol object at 0x15206cca1820>,10
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,<rdkit.Chem.rdchem.Mol object at 0x15206cca1890>,17
CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,-1.877,<rdkit.Chem.rdchem.Mol object at 0x15206cca1900>,17
O=[N+]([O-])c1ccccc1,-1.8,<rdkit.Chem.rdchem.Mol object at 0x15206cca1970>,9
Ic1ccccc1,-3.01,<rdkit.Chem.rdchem.Mol object at 0x15206cca19e0>,7
